trial,choice,feedback,left_stimulus,right_stimulus,left_option,right_option,rt,trial_type,trial_index,time_elapsed,internal_node_id,participant,condition
36,safe,50,red-50,blue-174,safe,risky,359,bandit-task,48,677893,0.0-3.0-0.35,119,low
37,risky,68,red-50,blue-174,safe,risky,318,bandit-task,49,681429,0.0-3.0-0.36,119,low
38,risky,22,red-50,blue-174,safe,risky,742,bandit-task,50,685044,0.0-3.0-0.37,119,low
39,safe,50,red-50,blue-174,safe,risky,719,bandit-task,51,688260,0.0-3.0-0.38,119,low
40,risky,60,red-50,blue-174,safe,risky,367,bandit-task,52,691514,0.0-3.0-0.39,119,low
41,safe,51,red-50,blue-174,safe,risky,822,bandit-task,53,697042,0.0-3.0-0.40,119,low
42,risky,58,red-50,blue-174,safe,risky,349,bandit-task,54,699890,0.0-3.0-0.41,119,low
43,risky,63,red-50,blue-174,safe,risky,294,bandit-task,55,702474,0.0-3.0-0.42,119,low
44,safe,51,red-50,blue-174,safe,risky,334,bandit-task,56,705322,0.0-3.0-0.43,119,low
45,risky,30,red-50,blue-174,safe,risky,350,bandit-task,57,708346,0.0-3.0-0.44,119,low
46,safe,52,red-50,blue-174,safe,risky,486,bandit-task,58,711130,0.0-3.0-0.45,119,low
