"trial","choice","feedback","left_stimulus","right_stimulus","left_option","right_option","rt","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"32","safe","49","red-60","blue-220","risky","safe","2062","bandit-task","41","420771","0.0-3.0-0.31","40","high"
"33","risky","28","red-157","blue-16","risky","safe","1094","bandit-task","42","424443","0.0-3.0-0.32","40","high"
"34","risky","31","red-159","blue-94","risky","safe","1110","bandit-task","43","427955","0.0-3.0-0.33","40","high"
"35","risky","65","red-199","blue-205","risky","safe","1061","bandit-task","44","431515","0.0-3.0-0.34","40","high"
"36","safe","51","red-213","blue-23","risky","safe","1094","bandit-task","45","435899","0.0-3.0-0.35","40","high"
"37","risky","77","red-164","blue-148","risky","safe","1374","bandit-task","46","439833","0.0-3.0-0.36","40","high"
"38","risky","76","red-5","blue-10","risky","safe","1558","bandit-task","47","444576","0.0-3.0-0.37","40","high"
"39","risky","64","red-208","blue-152","risky","safe","1182","bandit-task","48","448329","0.0-3.0-0.38","40","high"
"40","risky","63","red-43","blue-194","risky","safe","958","bandit-task","49","451889","0.0-3.0-0.39","40","high"
"41","risky","72","red-30","blue-56","risky","safe","878","bandit-task","50","455201","0.0-3.0-0.40","40","high"
"42","risky","78","red-190","blue-142","risky","safe","1199","bandit-task","51","459065","0.0-3.0-0.41","40","high"
"43","safe","50","red-108","blue-103","risky","safe","1646","bandit-task","52","463753","0.0-3.0-0.42","40","high"
"44","risky","26","red-222","blue-104","risky","safe","918","bandit-task","53","467441","0.0-3.0-0.43","40","high"
"45","risky","20","red-191","blue-67","risky","safe","1198","bandit-task","54","471128","0.0-3.0-0.44","40","high"
"46","risky","18","red-14","blue-161","risky","safe","951","bandit-task","55","474448","0.0-3.0-0.45","40","high"
"47","risky","32","red-86","blue-25","risky","safe","967","bandit-task","56","478024","0.0-3.0-0.46","40","high"
"48","safe","50","red-92","blue-210","risky","safe","926","bandit-task","57","481352","0.0-3.0-0.47","40","high"
"49","safe","51","red-162","blue-24","risky","safe","2238","bandit-task","58","486104","0.0-3.0-0.48","40","high"
"50","safe","48","red-111","blue-74","risky","safe","1206","bandit-task","59","490072","0.0-3.0-0.49","40","high"
"51","safe","50","red-173","blue-106","risky","safe","1663","bandit-task","60","494088","0.0-3.0-0.50","40","high"
"52","risky","66","red-85","blue-119","risky","safe","1214","bandit-task","61","498064","0.0-3.0-0.51","40","high"
"53","safe","51","red-102","blue-141","risky","safe","1895","bandit-task","62","502745","0.0-3.0-0.52","40","high"
"54","risky","71","red-77","blue-153","risky","safe","1478","bandit-task","63","506817","0.0-3.0-0.53","40","high"
"55","risky","48","red-89","blue-45","risky","safe","974","bandit-task","64","510185","0.0-3.0-0.54","40","high"
