"trial","choice","feedback","left_stimulus","right_stimulus","left_option","right_option","rt","distribution","trial_type","trial_index","time_elapsed","internal_node_id","participant","condition"
"99","safe","49","blue-163","red-54","risky","safe","829","2","bandit-task","101","470163","0.0-3.0-0.98","56","high"
"100","safe","51","blue-130","red-196","risky","safe","2190","2","bandit-task","102","474803","0.0-3.0-0.99","56","high"
"101","safe","50","blue-32","red-112","risky","safe","1726","2","bandit-task","103","479138","0.0-3.0-0.100","56","high"
"102","risky","38","blue-175","red-25","risky","safe","2230","2","bandit-task","104","483746","0.0-3.0-0.101","56","high"
"103","safe","50","blue-2","red-154","risky","safe","462","2","bandit-task","105","486874","0.0-3.0-0.102","56","high"
"104","safe","49","blue-96","red-6","risky","safe","566","2","bandit-task","106","489850","0.0-3.0-0.103","56","high"
"105","safe","47","blue-19","red-89","risky","safe","454","2","bandit-task","107","492722","0.0-3.0-0.104","56","high"
"106","risky","48","blue-160","red-36","risky","safe","581","2","bandit-task","108","495689","0.0-3.0-0.105","56","high"
"107","risky","68","blue-43","red-215","risky","safe","566","2","bandit-task","109","498681","0.0-3.0-0.106","56","high"
"108","risky","32","blue-173","red-100","risky","safe","478","2","bandit-task","110","501545","0.0-3.0-0.107","56","high"
"109","safe","50","blue-99","red-156","risky","safe","413","2","bandit-task","111","504337","0.0-3.0-0.108","56","high"
"110","safe","50","blue-35","red-202","risky","safe","406","2","bandit-task","112","507177","0.0-3.0-0.109","56","high"
